Which comic characters are painted by Bill Finger?,['http://dbpedia.org/resource/Bill_Finger'],['http://dbpedia.org/resource/Bill_Finger'],1.0,1.0
Was winston churchill the prime minister of Selwyn Lloyd?,"['http://dbpedia.org/resource/Selwyn_Lloyd', 'http://dbpedia.org/resource/Winston_Churchill']","['http://dbpedia.org/resource/Winston_Churchill', 'http://dbpedia.org/resource/Selwyn_Lloyd']",1.0,1.0
Name some leaders of the parent organisation of the Gestapo?,['http://dbpedia.org/resource/Gestapo'],['http://dbpedia.org/resource/Gestapo'],1.0,1.0
Which party has come in power in Mumbai North?,['http://dbpedia.org/resource/Mumbai_North_(Lok_Sabha_constituency)'],['http://dbpedia.org/resource/Mumbai'],0.0,0.0
Name the municipality of Roberto Clemente Bridge ?,['http://dbpedia.org/resource/Roberto_Clemente_Bridge'],['http://dbpedia.org/resource/Roberto_Clemente_Bridge'],1.0,1.0
Which royalty was married to ptolemy XIII Theos Philopator and had mother named Cleopatra V ?,"['http://dbpedia.org/resource/Cleopatra_V_of_Egypt', 'http://dbpedia.org/resource/Ptolemy_XIII_Theos_Philopator']","['http://dbpedia.org/resource/Ptolemy_XIII_Theos_Philopator', 'http://dbpedia.org/resource/Cleopatra_V_of_Egypt']",1.0,1.0
In which monarch did Li Si succeed someone?,['http://dbpedia.org/resource/Li_Si'],['http://dbpedia.org/resource/Li_Si'],1.0,1.0
Which home town of PAvel Moroz is the death location of the Yakov Estrin ?,"['http://dbpedia.org/resource/Pavel_Moroz', 'http://dbpedia.org/resource/Yakov_Estrin']",['http://dbpedia.org/resource/Yakov_Estrin'],1.0,0.5
"Which company which assembles its cars in Broadmeadows, Victoria?","['http://dbpedia.org/resource/Broadmeadows,_Victoria']",['http://dbpedia.org/resource/Electoral_district_of_Broadmeadows'],0.0,0.0
Which person designed the cars which has been designed by ASC Creative Services?,['http://dbpedia.org/resource/ASC_Creative_Services'],[],0,0
Name the scientist whose supervisor was Ernest Rutherford and had a doctoral students named Charles Drummond Ellis?,"['http://dbpedia.org/resource/Ernest_Rutherford', 'http://dbpedia.org/resource/Charles_Drummond_Ellis']","['http://dbpedia.org/resource/Ernest_Rutherford', 'http://dbpedia.org/resource/Charles_Drummond_Ellis']",1.0,1.0
Where was the designer of REP Parasol born?,['http://dbpedia.org/resource/REP_Parasol'],['http://dbpedia.org/resource/REP_Parasol'],1.0,1.0
What is the common affiliation of the Monroe Carell Jr. Children's Hospital at Vanderbilt and alma mater of the Duncan U. Fletcher?,"[""http://dbpedia.org/resource/Monroe_Carell_Jr._Children's_Hospital_at_Vanderbilt"", 'http://dbpedia.org/resource/Duncan_U._Fletcher']","['http://dbpedia.org/resource/Greg_Monroe', 'http://dbpedia.org/resource/Vanderbilt_University']",0.0,0.0
"What is the hometown of Nader Guirat, where Josef Johansson was born too?","['http://dbpedia.org/resource/Josef_Johansson', 'http://dbpedia.org/resource/Nader_Guirat']","['http://dbpedia.org/resource/Nader_Guirat', 'http://dbpedia.org/resource/Josef_Johansson']",1.0,1.0
What tv series can be said to be related to the sarah jane adventure and dr who confidential?,"['http://dbpedia.org/resource/The_Sarah_Jane_Adventures', 'http://dbpedia.org/resource/Doctor_Who_Confidential']",['http://dbpedia.org/resource/Sarah_Jane_Smith'],0.0,0.0
How many shows does HBO have?,['http://dbpedia.org/resource/HBO'],['http://dbpedia.org/resource/HBO'],1.0,1.0
Is Nikolai Morozov the former coach of Stanislav Morozov?,"['http://dbpedia.org/resource/Stanislav_Morozov', 'http://dbpedia.org/resource/Nikolai_Morozov_(figure_skater)']","['http://dbpedia.org/resource/Nikolai_Petrovich_Morozov', 'http://dbpedia.org/resource/Stanislav_Morozov']",0.5,0.5
What is the common genere of Abhijit Kunte and Kasparov ?,"['http://dbpedia.org/resource/Abhijit_Kunte', 'http://dbpedia.org/resource/Virtual_Kasparov']","['http://dbpedia.org/resource/Abhijit_Kunte', 'http://dbpedia.org/resource/Garry_Kasparov']",0.5,0.5
Which share holder of outlook is also the content license of the MSX Basics ?,"['http://dbpedia.org/resource/MSX_BASIC', 'http://dbpedia.org/resource/Outlook_on_the_web']","['http://dbpedia.org/resource/Microsoft_Outlook', 'http://dbpedia.org/resource/MSX']",0.0,0.0
On how many different grounds were seasons chaired by Ronaldo held?,['http://dbpedia.org/resource/Ronaldo'],['http://dbpedia.org/resource/Cristiano_Ronaldo'],0.0,0.0
Which source country of SamurAbsheron channel is the birth place of Anar Salmanov ?,"['http://dbpedia.org/resource/Samur–Absheron_channel', 'http://dbpedia.org/resource/Anar_Salmanov']",[],0,0
Where was the battle fought where 2nd Foreign Infantry Regiment participated  ?,['http://dbpedia.org/resource/2nd_Foreign_Infantry_Regiment'],['http://dbpedia.org/resource/2nd_Foreign_Infantry_Regiment'],1.0,1.0
What is the operator of SR class 3Sub ?,['http://dbpedia.org/resource/SR_class_3Sub'],[],0,0
Which band's  former member are Kevin Jonas and Joe Jonas?,"['http://dbpedia.org/resource/Kevin_Jonas', 'http://dbpedia.org/resource/Joe_Jonas']","['http://dbpedia.org/resource/Kevin_Jonas', 'http://dbpedia.org/resource/Joe_Jonas']",1.0,1.0
Did Timm Gunn guest in Sunrise (HIMYM)?,"['http://dbpedia.org/resource/Sunrise_(How_I_Met_Your_Mother)', 'http://dbpedia.org/resource/Tim_Gunn']",['http://dbpedia.org/resource/Sunrise'],0.0,0.0
Name the tenants of O.co Coliseum ?,['http://dbpedia.org/resource/O.co_Coliseum'],['http://dbpedia.org/resource/RingCentral_Coliseum'],0.0,0.0
which politician is currently ruling over Rishkiesh?,['http://dbpedia.org/resource/Rishikesh'],[],0,0
Is north america one of the destinations of airtours airways?,"['http://dbpedia.org/resource/Airtours_International_Airways', 'http://dbpedia.org/resource/North_America']",['http://dbpedia.org/resource/MyTravel_Group'],0.0,0.0
Who have done their PhDs under a National Medal of Science winner?,['http://dbpedia.org/resource/National_Medal_of_Science'],[],0,0
Who is the common manager of Aston Villa 2000-02 season and aldo the manager of Middlesbrough F.C. season 2009-10,"['http://dbpedia.org/resource/2000–01_Aston_Villa_F.C._season', 'http://dbpedia.org/resource/2009–10_Middlesbrough_F.C._season']","['http://dbpedia.org/resource/Aston_Villa_F.C.', 'http://dbpedia.org/resource/Middlesbrough_F.C.']",0.0,0.0
Name the mascot of the military branch of William Harper.,['http://dbpedia.org/resource/William_Harper_(Rhodesian_politician)'],"['http://dbpedia.org/resource/Mascot', 'http://dbpedia.org/resource/Military_branch', 'http://dbpedia.org/resource/William_Harpur']",0.0,0.0
"How many tenats have been there, of the constructions of PCL constructures?",['http://dbpedia.org/resource/PCL_Construction'],[],0,0
Was Kevin Jonas a part of Jonas brothers?,"['http://dbpedia.org/resource/Jonas_Brothers', 'http://dbpedia.org/resource/Kevin_Jonas']","['http://dbpedia.org/resource/Kevin_Jonas', 'http://dbpedia.org/resource/Jonas_Brothers']",1.0,1.0
"What was the book that lead to Sagan's Cosmos, about?",['http://dbpedia.org/resource/Cosmos_(Carl_Sagan_book)'],['http://dbpedia.org/resource/Cosmos'],0.0,0.0
"Which kind of conventions are held in Rosemont, Illinois?","['http://dbpedia.org/resource/Rosemont,_Illinois']","['http://dbpedia.org/resource/Rosemont,_Illinois']",1.0,1.0
What are the type of Greenup County High School?,['http://dbpedia.org/resource/Greenup_County_High_School'],['http://dbpedia.org/resource/Greenup_County_High_School'],1.0,1.0
List the teams for which Bobby Hoppe played ?,['http://dbpedia.org/resource/Bobby_Hoppe'],[],0,0
What are some famous works of the writer of The Second Coming?,['http://dbpedia.org/resource/The_Second_Coming_(TV_serial)'],['http://dbpedia.org/resource/Second_Coming'],0.0,0.0
How many books have been penned by Miguel de Cervantes?,['http://dbpedia.org/resource/Miguel_de_Cervantes'],['http://dbpedia.org/resource/Miguel_de_Cervantes'],1.0,1.0
Which labels signs up progressive rock bands?,['http://dbpedia.org/resource/Progressive_rock'],['http://dbpedia.org/resource/Progressive_rock'],1.0,1.0
"What are the schools whose city is Reading, Berkshire?","['http://dbpedia.org/resource/Reading,_Berkshire']","['http://dbpedia.org/resource/City', 'http://dbpedia.org/resource/Reading,_Berkshire']",0.5,1.0
Which magazine's editor is married to Crystal Harris?,['http://dbpedia.org/resource/Crystal_Harris'],['http://dbpedia.org/resource/Crystal_Hefner'],0.0,0.0
