Which comic characters are painted by Bill Finger,which comic characters are painted by <A>,['http://dbpedia.org/resource/Bill_Finger'],['http://dbpedia.org/resource/Bill_Finger'],1.0,1.0
Was winston churchill the prime minister of Selwyn Lloyd,was <B> the prime minister of <A>,"['http://dbpedia.org/resource/Selwyn_Lloyd', 'http://dbpedia.org/resource/Winston_Churchill']","['http://dbpedia.org/resource/Winston_Churchill', 'http://dbpedia.org/resource/Selwyn_Lloyd']",1.0,1.0
Name some leaders of the parent organisation of the Gestapo,name some leaders of the parent organisation of the <A>,['http://dbpedia.org/resource/Gestapo'],['http://dbpedia.org/resource/Gestapo'],1.0,1.0
Which party has come in power in Mumbai North,which party has come in power in <A>,['http://dbpedia.org/resource/Mumbai_North_(Lok_Sabha_constituency)'],['http://dbpedia.org/resource/Mumbai_North'],0.0,0.0
Name the municipality of Roberto Clemente Bridge ,name the municipality of <A> ,['http://dbpedia.org/resource/Roberto_Clemente_Bridge'],['http://dbpedia.org/resource/Roberto_Clemente_Bridge'],1.0,1.0
Which royalty was married to ptolemy XIII Theos Philopator and had mother named Cleopatra V ,which royalty was married to <B> and had mother named <A> v ,"['http://dbpedia.org/resource/Cleopatra_V_of_Egypt', 'http://dbpedia.org/resource/Ptolemy_XIII_Theos_Philopator']","['http://dbpedia.org/resource/Ptolemy_XIII_Theos_Philopator', 'http://dbpedia.org/resource/Cleopatra']",0.5,0.5
In which monarch did Li Si succeed someone,in which monarch did <A> succeed someone,['http://dbpedia.org/resource/Li_Si'],['http://dbpedia.org/resource/Li_Si'],1.0,1.0
Which home town of PAvel Moroz is the death location of the Yakov Estrin ,which home town of <A> is the death location of the <B> ,"['http://dbpedia.org/resource/Pavel_Moroz', 'http://dbpedia.org/resource/Yakov_Estrin']","['http://dbpedia.org/resource/Pavel_Moroz', 'http://dbpedia.org/resource/Yakov_Estrin']",1.0,1.0
"Which company which assembles its cars in Broadmeadows, Victoria",which company which assembles its cars in <A>,"['http://dbpedia.org/resource/Broadmeadows,_Victoria']","['http://dbpedia.org/resource/Broadmeadows,_Victoria']",1.0,1.0
Which person designed the cars which has been designed by ASC Creative Services,which person designed the cars which has been designed by <A>,['http://dbpedia.org/resource/ASC_Creative_Services'],['http://dbpedia.org/resource/Creative_arts_therapies'],0.0,0.0
Name the scientist whose supervisor was Ernest Rutherford and had a doctoral students named Charles Drummond Ellis,name the scientist whose supervisor was <A> and had a doctoral students named <B>,"['http://dbpedia.org/resource/Ernest_Rutherford', 'http://dbpedia.org/resource/Charles_Drummond_Ellis']","['http://dbpedia.org/resource/Ernest_Rutherford', 'http://dbpedia.org/resource/Charles_Drummond_Ellis']",1.0,1.0
